"","p_value","FDR","log2FC","linearFC"
"VEZT",0.513637253028686,0.687242731531785,-0.0577238045162556,0.960778781797124
"SPC25",0.0556093498355626,0.163835160932028,0.0733889281627143,1.05218539380371
"TAF9B",0.675435314488307,0.805796299383718,0.0132006405071738,1.00919197584674
"SLC38A10",0.0740880790886619,0.199173015329659,-0.0716830110822233,0.951527322924351
"ETNK1",0.165298615025962,0.341272418106073,-0.134165516579053,0.911196735453276
"TMEM165",0.393174047385768,0.583451750463305,-0.038745821150755,0.973500873697909
"APOBEC3G",0.585587519941376,0.744978744473842,0.0784542934344561,1.05588615562263
"SLC25A19",0.0264215438550984,0.09923539004595,-0.155205153582717,0.898004666079125
"EML4",0.0504570015913955,0.153613930235963,-0.035546480726552,0.975662118181637
"MRM3",0.864858617305317,0.928276263855843,-0.0054504480199995,0.996229164844484
"GLOD4",0.349416789056692,0.547034331340921,-0.00962847732405336,0.993348269444565
"GPBP1L1",0.131277867514861,0.294027933153153,0.103131578094793,1.07410242850121
"CBX8",0.737385144544408,0.849607211453109,-0.00828444839675768,0.994274113684179
"SENP2",0.421760259268337,0.609353374077056,-0.0971420619512919,0.934883135425147
"CPAP",0.296972849388835,0.495297697044676,1.0557065067285,2.07873594169546
"NEK6",0.547196847119317,0.713172339005066,1.08203450713812,2.11701942512779
"MCCC2",0.940608143050739,0.972575747659792,-0.00112848809822808,0.999218097501614
"NCOA5",0.0386164694732647,0.128470400881788,-0.0398865262032899,0.972731453664344
"TANC2",0.321536264950336,0.520499342617921,0.0295470256905457,1.02069160082084
"EPG5",0.392471532114491,0.582726237087263,0.0705051506157446,1.0500842996884
"MOV10",0.00790125665358522,0.0422639767666284,0.0266924299811784,1.01867400103967
"METTL14",0.413044840889191,0.601059562204327,0.0571153995087066,1.04038348226594
"ARHGEF10L",0.18074437810096,0.36184246339977,-0.0871954523004845,0.941350924304193
"SMURF1",0.989546209734525,0.995949140144111,-0.029119085969274,0.980018517252827
"GBA2",0.476053904693794,0.656670344853196,0.0524844828599598,1.03704930229869
"CWC22",0.21177946277208,0.400210754258607,-0.0423202305890946,0.971091921324859
"NCKAP5L",0.13947133005879,0.306214128900066,2.36915892859155,5.16639850499791
"SYTL2",0.000419777852772098,0.00558550711492444,-0.134599412038272,0.91092273113
"MSL2",0.368581979470413,0.56241679587116,-0.0850885102776537,0.942726697248949
"ANKH",0.0790719287716205,0.207611377948971,-0.468429661709273,0.722750866419668
"RAVER2",0.0019439173894582,0.0156936520132526,-0.102061962177132,0.931700412929777
"CHD8",0.000231357906784479,0.00357926863728578,0.0770824050483334,1.05488256900216
"GPAM",0.359418181231345,0.555834919727386,-0.103519107625038,0.93075985543345
"EPB41L5",0.0177208875883565,0.0751049943154374,0.164126369169459,1.12048735611012
"FBRSL1",0.968162683200225,0.986976008882741,0.00290607166995471,1.00201636552095
"GPN1",0.0872409579203744,0.221526527961633,0.0591464080603821,1.04184915292757
"SDF2L1",0.273726472960196,0.471318631328896,-0.0368370261171549,0.974789741685512
"CSNK1G1",0.626898897739755,0.772255715038258,0.0118862871653782,1.00827297995778
"CYP4F12",0.419771482093165,0.607821976194349,-0.0395765239240049,0.972940493939344
"EPB41L4A",0.185997506388776,0.368661562675162,-0.163360964313123,0.8929424089638
"XAB2",0.00338386388930642,0.0232718840925074,0.0843274334587072,1.06019337713596
"CELSR2",0.0334667680660677,0.116848135602687,0.1236687256251,1.08950190999099
"PREB",0.111514108617277,0.262854684597866,0.0486841430577201,1.0343211072756
"POLD4",0.00287498591762775,0.0207120464347408,-0.242188733558198,0.845461676733001
"BRMS1",0.119462977587046,0.276104210271784,-0.111653842270035,0.925526470604434
"SRA1",0.248511599937051,0.44513436942106,0.0395173049178403,1.02776989917085
"ATP13A1",0.000706684357713691,0.00800564381119734,0.0602210479733998,1.04262549840978
"MRS2",0.123784258216871,0.282895942263858,-0.114127646882949,0.923940820323176
"GOPC",0.00178468326933756,0.0148132331402217,0.0562636334492943,1.03976942193423
"MRPL47",0.190066253410468,0.373559610449393,0.048416921074331,1.03412954375446
"LYRM4",0.0492539093865673,0.151311559466842,0.0967312842388495,1.06934789305374
"SEPSECS",0.520836770582491,0.693025695116697,0.0411353421297864,1.02892322872816
"CHMP1A",0.892424574710912,0.945737884159744,-0.00312161629191365,0.997838599665408
"TM9SF3",5.62461984980506e-05,0.00146831851769918,-0.138016519974816,0.908767710295302
"RANGRF",0.00508325341607671,0.0307474840777323,0.166089134908018,1.12201280039053
"MYO10",0.0489186487509739,0.15062085078178,0.0475215708865449,1.03348795228798
"JPH1",0.436463601180498,0.621765566069546,0.0625971163943877,1.0443440810804
"APMAP",0.00727914746042097,0.0397680526142091,0.0782518826816982,1.05573802471933
"WDR6",0.00359865809560478,0.0242000146708542,0.133872635802961,1.09723506705003
"TXNRD2",0.655352534226431,0.791696453674317,0.0163845983795987,1.01142167302488
"TUFT1",0.701660732089141,0.824937714612489,-0.0122305863827741,0.991558237021005
"SINHCAF",0.698408853306409,0.821941049102625,0.0750301161141991,1.05338302499026
"ARFGAP3",0.0300534854661272,0.108638571137273,0.117438388154669,1.08480699636956
"ZCCHC17",0.310871807564038,0.510468473736776,0.158495392423889,1.11612251052516
"HMG20A",0.988208381039653,0.995495233236405,0.000671527892475154,1.00046557601222
"RAB18",0.064940323941786,0.182136869380342,0.0347410129246803,1.02437291503287
"ALG13",0.0611804996083892,0.174824963016821,0.0531666099850625,1.03753975017564
"PALMD",0.652690596813255,0.790063577032936,-0.0125917755293621,0.991310024311088
"SSU72",0.906277650540781,0.954074645230994,0.00398968053384152,1.00276926315826
"VTA1",0.639342542522833,0.781185334130616,-0.0126807816684718,0.991248867965671
"PNPLA8",0.152739138559611,0.324595458315205,-0.116559944193385,0.922384423879484
"SARS2",0.0718919399484631,0.194886928300173,-0.0363025153904957,0.975150962935155
"MRPS30",0.412987527866003,0.601059562204327,-0.031813881954168,0.978189658815454
"DYNLRB1",4.2513008389655e-05,0.00119802280884481,0.194334734693438,1.14419641932934
"EMC7",0.0407409018363041,0.132997024582494,0.0708056643900115,1.05030305531981
"MID1IP1",0.492924541980688,0.671176119865144,1.24714413779867,2.37371073784136
"ENY2",0.609637631726972,0.76342650168332,0.0131444806449288,1.00915269174467
"SAYSD1",0.639228909225984,0.781185334130616,0.062302331261872,1.04413071259322
"GPCPD1",0.349291745959564,0.546996488506137,0.0395083593697194,1.02776352641963
"A4GALT",0.310167518438812,0.509823452681911,-0.179327757917985,0.883114398807132
"MYNN",0.894906959952544,0.947300647499257,0.183015202926807,1.13525406523808
"EXOSC4",0.546032905555707,0.712097031217037,0.0272578093569464,1.01907328856863
"UBE2T",0.000211659103875487,0.00335701183356005,0.0853706112947421,1.06096025450652
"NGRN",0.204850857865326,0.392109144728049,-0.0645841228153241,0.956220922029996
"CD320",0.12869746102241,0.290394271024925,0.133626798406622,1.0970481124799
"OSGEP",0.945048663775433,0.975433968085711,-0.00168535227349409,0.998832484900073
"DMAP1",0.0281403192793195,0.103617322186543,-0.067135748160986,0.954531194776003
"UBN1",0.469667960716322,0.650933546232409,0.0426772743194377,1.03002351529919
"ACP6",0.00194100240374415,0.0156936520132526,-0.121167264446751,0.91944344072948
"ISYNA1",0.0145105142466151,0.0652136455762208,0.0431645985675111,1.03037150306343
"IL1RAP",0.808576394551835,0.894967434813662,-0.0252340446744981,0.982661171040841
"TMEM138",0.434174111522709,0.619254257354802,0.10195338614383,1.07322560963157
"BRD7",0.754842309311176,0.860394075125719,0.012946862548187,1.00901446906375
"DCP1A",0.623602875291903,0.770000894898753,-0.0324028222398436,0.977790421478866
"ACOT13",0.513668595891975,0.687242731531785,0.0188016443360297,1.0131175973796
"MED4",0.0122565996622684,0.057990190325618,0.122767430807336,1.08882147806963
"TIMMDC1",0.686057502903278,0.813016884413615,-0.0129338560684218,0.991075000513431
"RIC8A",0.494575719724095,0.672471787709254,0.0185795412214667,1.01296163978105
"SEMA4B",0.245632426465834,0.441426389590774,0.0576606826208206,1.04077678143858
"ATP13A2",0.0380791632024839,0.127350813272244,-0.219922340980016,0.858611653512788
"LUC7L",0.974739245787521,0.98948970324052,0.00215742996773827,1.00149653519221
"LZTFL1",0.357729437863391,0.554270677673986,-0.0208769917596356,0.985633371232603
"MRPL40",0.00880454578298456,0.0456342005623468,-0.122847284736004,0.918373370792706
"PPAN",3.27550704351854e-05,0.00100557357128585,0.145473712564442,1.10609378238997
"GPRC5C",0.278026320825994,0.475347281760413,-0.0489431105563796,0.966644213760266
"TIGAR",1.81104563194392e-06,0.000154391640123219,0.181683348701274,1.13420651521419
"FERRY3",0.424731667458111,0.611766835988134,-0.0541824270895717,0.963140098388226
"COPRS",0.374631874697715,0.567460163340014,0.112293299014045,1.08094513518361
"WASH6P",0.291203126342172,0.48946526719744,-0.186256952184676,0.878883012912439
"JADE2",0.912001938341592,0.957314198350061,0.00667886722292899,1.00464017038821
"RTN4",0.0343003738134687,0.118997142555925,0.0807151762463505,1.05754215797762
"CYLD",0.69353289975675,0.817731342977848,0.0630223457855728,1.04465194326749
"IFT46",0.860048444160667,0.925649193452249,-0.245083360115796,0.843767041162161
"HINT3",0.285070974055922,0.482596108231953,0.0749837372792186,1.05334916205261
"MANBAL",0.133739674813659,0.297449969060942,2.18164054230493,4.53669145008464
"RPRD1B",0.751927806572812,0.858746465111902,-0.00453316755395505,0.996862779085121
"MIEF1.1",0.169209827502803,0.346723392158973,0.124533616260962,1.0901552583995
"XPNPEP3",0.0131128463040421,0.0607302259283718,-0.075467321193031,0.949034657603077
"PFDN4",0.0566013176005637,0.16603053162832,0.163542794371075,1.12003420701603
"NIT2",0.000203071540824818,0.00327896097915806,0.10319711109733,1.07415121965519
"AVEN",0.552088311637041,0.716195316239156,-0.0329606840196099,0.977412402257011
"INCENP",0.300174028407078,0.498604475032175,0.0483012055528462,1.03404660173474
"EXOSC5",0.0215245637928078,0.0863079086594739,0.14597222596959,1.10647605157362
"EXOSC3",0.165428466076178,0.341390464502379,0.0693736719954927,1.04926106116493
"KIF13B",0.000501720503323174,0.00620253866948166,-0.12742542766393,0.915463691029372
"PRDM10",0.158367399476469,0.332413130883668,-0.102044161701325,0.931711908646129
"ANLN",3.04433641594763e-07,4.90556412975011e-05,0.198771306584682,1.14772046485662
"XPNPEP1",0.0401605086038188,0.131680129172137,-0.0421944390615359,0.971176596504543
"GPHN",0.0285004811155243,0.104501764090256,-0.0327598304830801,0.977548488122993
"ITM2C",0.556737346586476,0.720711554011977,-0.0583361738384358,0.960371054186
"BIN3",0.0284620417742574,0.104407597436362,-0.112692904360856,0.924860125178881
"UTP3",0.0685025821926948,0.188854178295956,-0.0708390606328884,0.952084112001223
"STARD7",0.125105899344448,0.285084497070238,-0.121146574183479,0.919456626928036
"ENTPD7",0.219213843716158,0.408945998854123,-1.27348061352805,0.413660579888124
"BIRC6",0.831198630532065,0.909064491818044,-0.00279206154260692,0.998066561917881
"PDLIM7",0.0982622861486498,0.241350104994163,0.0606696514862684,1.04294975140483
"ACSS2",0.000740698213679663,0.0082110997938487,-0.10859984957898,0.927487761677102
"DIABLO",0.0584790784064232,0.169964437798155,0.218588488342821,1.16359458550111
"DDX21",4.96908661246857e-06,0.000300648823089501,0.0886686462618833,1.06338840908015
"SAR1A",0.0764033093397515,0.202964813323703,0.275009731894137,1.21000225142528
"POLE4",0.083548095742094,0.21522115692581,0.231186803210186,1.1738001545727
"NANS",0.0464163675735347,0.145377555385307,-0.0509653508826027,0.96529020790847
"SH3GLB2",0.469025597283105,0.650483899028119,0.0184986937487395,1.0129048758139
"ASH1L",0.78176029777573,0.87897931045903,0.0128979673171692,1.00898027253702
"EIF2B3",1.3152529175815e-05,0.000557721755310206,0.0965583289506107,1.0692197036013
"MBNL1",0.0465972814583498,0.145728087825946,0.147220422370765,1.10743377098845
"PXMP2",0.0153420523549548,0.0677234932432309,0.170051237496022,1.12509844199209
"ARHGEF4",0.617067744182727,0.766658262145979,0.504096931432846,1.41823532051772
"MXRA5",0.660638925653303,0.795482973976699,1.2673295218745,2.40715580082924
"SPHK2",0.444295085276819,0.628153701162439,-0.21436208973995,0.861927190104338
"SLC17A5",0.260182445073655,0.457494295895982,-0.0514703278642692,0.964952392900841
"EIF4ENIF1",0.109358998743957,0.259043139137639,-0.0599186706406787,0.95931819765304
"ST7",0.120141177126019,0.277201971694204,-0.0733814312280572,0.95040779161317
"PICK1",0.820581673037438,0.902639840341181,-0.0244935037595297,0.983165704278877
"DUOX1",0.00617901738232476,0.0354870724610146,0.183815853645958,1.13588427066741
"SH2B1",0.135391754422598,0.299796027650039,-0.129335067047457,0.914252728931683
"CTPS2",0.0781314598605398,0.205934900965751,0.0339783066735606,1.0238315052982
"POLE3",0.137901740315888,0.3037921514792,0.0480771787485779,1.03388604377621
"CHRAC1",0.123295300498557,0.282293435754281,0.0523882956975754,1.03698016259723
"SMYD2",0.128200285740732,0.289751764292225,-0.117081265641065,0.922051178182886
"SDR39U1",0.252711686815818,0.449118880543031,-0.0853249994795053,0.94257217643469
"AAAS",0.0323810497246566,0.114339343192203,0.0609271593274308,1.0431359249905
"YAE1",0.812340889208966,0.897313785569736,0.0209816121299546,1.01464961428152
"SNRK",0.307121906640289,0.506138881180855,-1.21112811427443,0.43193073566306
